iter	Passed	Remaining
0	0	80
1	1	70
2	2	67
3	2	62
4	3	67
5	4	66
6	4	65
7	5	65
8	6	70
9	7	70
10	8	68
11	9	66
12	9	65
13	10	66
14	11	65
15	12	64
16	12	63
17	13	62
18	14	63
19	15	62
20	16	61
21	17	60
22	17	60
23	18	59
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	56	17
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	61	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
