iter	Passed	Remaining
0	153	153668
1	154	77276
2	155	51719
3	156	38955
4	157	31324
5	158	26198
6	159	22569
7	160	19846
8	160	17724
9	161	16005
10	162	14595
11	163	13420
12	163	12433
13	164	11585
14	165	10847
15	166	10213
16	166	9655
17	167	9153
18	168	8702
19	169	8298
20	170	7930
21	171	7603
22	171	7298
23	172	7023
24	174	6789
25	174	6546
26	175	6322
27	176	6113
28	176	5919
29	177	5736
30	178	5567
31	178	5411
32	179	5262
33	180	5128
34	181	5000
35	182	4877
36	182	4761
37	183	4649
38	184	4546
39	185	4447
40	186	4351
41	186	4262
42	187	4182
43	188	4101
44	189	4023
45	190	3948
46	191	3877
47	191	3806
48	192	3739
49	193	3673
50	193	3609
51	194	3549
52	195	3495
53	196	3442
54	197	3388
55	198	3340
56	198	3289
57	199	3239
58	200	3191
59	200	3145
60	201	3101
61	202	3059
62	203	3021
63	204	2985
64	204	2948
65	205	2911
66	206	2874
67	207	2839
68	207	2805
69	208	2771
70	209	2743
71	210	2714
72	211	2683
73	212	2654
74	212	2623
75	213	2596
76	214	2569
77	215	2542
78	215	2516
79	216	2490
80	217	2466
81	218	2443
82	218	2414
83	219	2391
84	220	2369
85	220	2348
86	221	2325
87	222	2304
88	223	2283
89	223	2262
90	224	2243
91	225	2226
92	226	2208
93	227	2190
94	228	2172
95	228	2153
96	229	2134
97	229	2116
98	230	2098
99	231	2083
100	232	2066
101	232	2050
102	233	2034
103	234	2019
104	235	2004
105	235	1989
106	236	1974
107	237	1959
108	238	1945
109	238	1932
110	239	1919
111	240	1908
112	241	1894
113	241	1880
114	242	1866
115	243	1853
116	243	1839
117	244	1825
118	244	1812
119	245	1799
120	245	1786
121	246	1774
122	247	1762
123	248	1752
124	248	1740
125	249	1729
126	249	1717
127	250	1706
128	251	1695
129	251	1684
130	252	1673
131	252	1662
132	253	1652
133	254	1642
134	255	1634
135	255	1624
136	256	1615
137	257	1605
138	257	1595
139	258	1586
140	258	1577
141	259	1567
142	260	1559
143	260	1550
144	261	1542
145	262	1534
146	262	1525
147	263	1517
148	264	1509
149	264	1501
150	265	1493
151	266	1485
152	267	1478
153	267	1471
154	268	1463
155	269	1456
156	269	1449
157	270	1441
158	271	1434
159	271	1426
160	272	1418
161	272	1411
162	273	1403
163	273	1396
164	274	1389
165	275	1382
166	275	1375
167	276	1369
168	277	1362
169	277	1356
170	278	1350
171	279	1343
172	279	1336
173	280	1330
174	280	1324
175	281	1317
176	282	1311
177	282	1305
178	283	1299
179	284	1293
180	284	1288
181	285	1282
182	286	1276
183	286	1271
184	287	1265
185	287	1259
186	288	1253
187	289	1248
188	289	1242
189	290	1237
190	290	1231
191	291	1226
192	292	1222
193	292	1217
194	293	1211
195	294	1207
196	294	1202
197	295	1197
198	296	1192
199	296	1186
200	297	1182
201	298	1177
202	298	1172
203	299	1167
204	300	1163
205	300	1158
206	301	1153
207	301	1149
208	302	1144
209	303	1140
210	303	1135
211	304	1130
212	304	1126
213	305	1121
214	306	1117
215	306	1113
216	307	1109
217	308	1105
218	308	1101
219	309	1097
220	310	1093
221	310	1088
222	311	1085
223	312	1081
224	312	1077
225	313	1073
226	314	1069
227	314	1065
228	315	1061
229	316	1058
230	316	1054
231	317	1050
232	318	1046
233	318	1042
234	319	1038
235	319	1035
236	320	1031
237	320	1027
238	321	1023
239	322	1020
240	322	1017
241	323	1013
242	324	1010
243	324	1006
244	325	1003
245	326	1000
246	327	996
247	327	993
248	328	989
249	328	986
250	329	983
